created_at,text,url,replies,retweets,favorites,user
10/16/17 22:59,"I'm grateful to @SenJohnMcCain for his lifetime of service to our country. Congratulations, John, on receiving this year's Liberty Medal.",https://twitter.com/BarackObama/status/920061541986250758,17064,89916,641842,BarackObama
10/2/17 12:41,Michelle &amp; I are praying for the victims in Las Vegas. Our thoughts are with their families &amp; everyone enduring another senseless tragedy.,https://twitter.com/BarackObama/status/914832655170011137,21588,405895,1715753,BarackObama
9/30/17 2:22,Proud to cheer on Team USA at the Invictus Games today with my friend Joe. You represent the best of our country. https://t.co/WBzcltmgqj,https://twitter.com/BarackObama/status/913952069765271559,8476,60651,503255,BarackObama
9/26/17 17:03,"We're expanding our efforts to help Puerto Rico &amp; the USVI, where our fellow Americans need us right now. Join us a_ https://t.co/gkrp1RwXR4",https://twitter.com/BarackObama/status/912724426709504000,10657,113807,334901,BarackObama
9/25/17 23:36,"Prosecutor, soldier, family man, citizen. Beau made us want to be better. What a legacy to leave. What a testament_ https://t.co/XDtkLu32wd",https://twitter.com/BarackObama/status/912460861758955523,3886,58449,328106,BarackObama
9/20/17 16:32,RT @gatesfoundation: President @BarackObama addresses #Goalkeepers17 starting at 12:40 PM. Tune in here: https://t.co/XmHBErSHYw,https://twitter.com/BarackObama/status/910542207991590917,846,2615,11273,BarackObama
9/20/17 2:30,Thinking about our neighbors in Mexico and all our Mexican-American friends tonight. Cuidense mucho y un fuerte abrazo para todos.,https://twitter.com/BarackObama/status/910330388219916290,23160,448792,1502386,BarackObama
9/18/17 20:07,"Coding is important  and fun. @CSforAll, thanks for your work to make sure every kid can compete in a high-tech, g_ https://t.co/xwlnvxsjKb",https://twitter.com/BarackObama/status/909871642423197696,2616,31487,151759,BarackObama
9/13/17 14:08,Michelle and I want the @ObamaFoundation to inspire and empower people to change the world. Here's how we're gettin_ https://t.co/xY0UhBSvqp,https://twitter.com/BarackObama/status/907969359695491072,6290,65752,263743,BarackObama
9/11/17 15:32,We remember everyone we lost on 9/11 and honor all who defend our country and our ideals. No act of terror will ever change who we are.,https://twitter.com/BarackObama/status/907265689832103936,15531,351102,1385291,BarackObama
9/10/17 15:56,"RT @GeorgeHWBush: Across the U.S., Americans have answered the call to help with hurricane recovery. Praying for all Floridians. #Irma http_",https://twitter.com/BarackObama/status/906909155918786561,789,6538,33440,BarackObama
